,BGP,BGR,BGW,BPG,BPR,BPW,BRG,BRP,BRW,BWG,BWP,BWR,GBP,GBPRW,GBPWR,GBR,GBRPW,GBRWP,GBW,GBWPR,GBWRP,GPB,GPBRW,GPBWR,GPR,GPRBW,GPRWB,GPW,GPWBR,GPWRB,GRB,GRBPW,GRBWP,GRP,GRPBW,GRPWB,GRW,GRWBP,GRWPB,GWB,GWBPR,GWBRP,GWP,GWPBR,GWPRB,GWR,GWRBP,GWRPB,PBG,PBR,PBW,PGB,PGR,PGW,PRB,PRG,PRW,PWB,PWG,PWR,RBG,RBP,RBW,RGB,RGP,RGW,RPB,RPG,RPW,RWB,RWG,RWP,WBG,WBP,WBR,WGB,WGP,WGR,WPB,WPG,WPR,WRB,WRG,WRP
BGP,,['WBGR'],['RBGW'],"['RWBPG', 'WRBPG']",['RWBPR'],['WRBPW'],['WBRG'],['WBRP'],['RWGBRW'],['RBWG'],['RBWP'],['WRGBWR'],"['RWGBP', 'WRGBP']",['RW'],['WR'],['RWGBR'],"['RWGB', 'WBRP']","['RBWPG', 'RWGBR']",['WRGBW'],"['RBWP', 'WRGB']","['WBRPG', 'WRGBW']","['RWGPB', 'WRGPB']",['RWG'],['WRG'],['R'],['R'],[''],['W'],['W'],[''],['RBWGRB'],['WRBP'],['RBW'],['WBGRP'],['RBWG'],['WB'],['WBGRW'],['RWB'],['WBGR'],['WBRGWB'],['RWBP'],['WBR'],['RBGWP'],['WBRG'],['RB'],['RBGWR'],['WRB'],['RBGW'],"['RBGWPBG', 'WBGRPBG']","['RWGPBR', 'WRGPBR']","['RWGPBW', 'WRGPBW']","['RBWPGB', 'WBRPGB']","['RBWPGR', 'RWBPGR', 'WRBPGR']","['RWBPGW', 'WBRPGW', 'WRBPGW']",['RB'],"['RBWPRG', 'RWBPRG']",['RW'],['WB'],"['WBRPWG', 'WRBPWG']",['WR'],['RBG'],['WRBP'],['RBW'],['WRGB'],['WRGP'],['WBRGW'],['WBGRPB'],['WBRPG'],['WBRPW'],['RWB'],['RWG'],['WBGRWP'],['WBG'],['RWBP'],['WBR'],['RWGB'],['RWGP'],['RBWGR'],['RBGWPB'],['RBWPG'],['RBWPR'],['WRB'],['WRG'],['RBGWRP']
BGR,['WBGP'],,['PBGW'],['WBPG'],['WBPR'],['PWGBPW'],"['PWBRG', 'WPBRG']",['PWBRP'],['WPBRW'],['PBWG'],['WPGBWP'],['PBWR'],['PWGBP'],"['PWGB', 'WBPR']","['PBWRG', 'PWGBP']","['PWGBR', 'WPGBR']",['PW'],['WP'],['WPGBW'],"['WBPRG', 'WPGBW']","['PBWR', 'WPGB']",['PBWGPB'],['WPBR'],['PBW'],['WBGPR'],['PBWG'],['WB'],['WBGPW'],['PWB'],['WBGP'],"['PWGRB', 'WPGRB']",['PWG'],['WPG'],['P'],['P'],[''],['W'],['W'],[''],['WBPGWB'],['WBP'],['PWBR'],['PBGWP'],['WPB'],['PBGW'],['PBGWR'],['WBPG'],['PB'],['PBG'],['WPBR'],['PBW'],['WPGB'],['WPGR'],['WBPGW'],['WBGPRB'],['WBPRG'],['WBPRW'],['PWB'],['PWG'],['WBGPWR'],"['PBGWRBG', 'WBGPRBG']","['PWGRBP', 'WPGRBP']","['PWGRBW', 'WPGRBW']","['PBWRGB', 'WBPRGB']","['PBWRGP', 'PWBRGP', 'WPBRGP']","['PWBRGW', 'WBPRGW', 'WPBRGW']",['PB'],"['PBWRPG', 'PWBRPG']",['PW'],['WB'],"['WBPRWG', 'WPBRWG']",['WP'],['WBG'],['WBP'],['PWBR'],['PWGB'],['PBWGP'],['PWGR'],['WPB'],['WPG'],['PBGWPR'],['PBGWRB'],['PBWRG'],['PBWRP']
BGW,['RBGP'],['PBGR'],,['RBPG'],['PRGBPR'],['RBPW'],['PBRG'],['RPGBRP'],['PBRW'],"['PRBWG', 'RPBWG']",['PRBWP'],['RPBWR'],['PRGBP'],"['PBRWG', 'PRGBP']","['PRGB', 'RBPW']",['RPGBR'],"['RBPWG', 'RPGBR']","['PBRW', 'RPGB']","['PRGBW', 'RPGBW']",['PR'],['RP'],['PBRGPB'],['PBR'],['RPBW'],['RBGPR'],['PRB'],['RBGP'],['RBGPW'],['PBRG'],['RB'],['RBPGRB'],['RBP'],['PRBW'],['PBGRP'],['RPB'],['PBGR'],['PBGRW'],['RBPG'],['PB'],"['PRGWB', 'RPGWB']",['PRG'],['RPG'],['P'],['P'],[''],['R'],['R'],[''],['PBG'],['PBR'],['RPBW'],['RPGB'],['RBPGR'],['RPGW'],['PRB'],['PRG'],['RBGPRW'],['RBGPWB'],['RBPWG'],['RBPWR'],['RBG'],['RBP'],['PRBW'],['PRGB'],['PBRGP'],['PRGW'],['RPB'],['RPG'],['PBGRPW'],['PBGRWB'],['PBRWG'],['PBRWP'],"['PBGRWBG', 'RBGPWBG']","['PRGWBP', 'RPGWBP']","['PRGWBR', 'RPGWBR']","['PBRWGB', 'RBPWGB']","['PBRWGP', 'PRBWGP', 'RPBWGP']","['PRBWGR', 'RBPWGR', 'RPBWGR']",['PB'],"['PBRWPG', 'PRBWPG']",['PR'],['RB'],"['RBPWRG', 'RPBWRG']",['RP']
BPG,"['RWBGP', 'WRBGP']",['RWBGR'],['WRBGW'],,['WBPR'],['RBPW'],['WBRG'],['WBRP'],['RWPBRW'],['RBWG'],['RBWP'],['WRPBWR'],"['RBPWGBP', 'WBPRGBP']",['WBPR'],['RBPW'],"['RWPGBR', 'WRPGBR']",['WBRP'],['RWP'],"['RWPGBW', 'WRPGBW']",['RBWP'],['WRP'],"['RBWGPB', 'WBRGPB']","['RBWGP', 'RWPBR']","['WBRGP', 'WRPBW']","['RBWGPR', 'RWBGPR', 'WRBGPR']",['RBW'],['RWB'],"['RWBGPW', 'WBRGPW', 'WRBGPW']",['WBR'],['WRB'],['RB'],['RB'],['R'],"['RBWGRP', 'RWBGRP']","['RBWG', 'WRPB']",['RWBG'],['RW'],[''],['RW'],['WB'],['WB'],['W'],"['WBRGWP', 'WRBGWP']","['RWPB', 'WBRG']",['WRBG'],['WR'],[''],['WR'],"['RWPBG', 'WRPBG']",['RWPBR'],['WRPBW'],"['RWPGB', 'WRPGB']",['R'],['W'],['RBWPRB'],['WBPRG'],['WBPRW'],['WBRPWB'],['RBPWG'],['RBPWR'],['WRBG'],['RBP'],['RBW'],['WBPRGB'],['WBRGP'],['WBRGW'],['WRPB'],['WRPG'],['WBRPW'],['RWB'],['WBPRWG'],['RWP'],['RWBG'],['WBP'],['WBR'],['RBPWGB'],['RBWGP'],['RBWGR'],['RWPB'],['RWPG'],['RBWPR'],['WRB'],['RBPWRG'],['WRP']
BPR,['WBGP'],['WBGR'],['GWPBGW'],['WBPG'],,['GBPW'],['GWBRG'],"['GWBRP', 'WGBRP']",['WGBRW'],['WGPBWG'],['GBWP'],['GBWR'],['GBP'],[''],['GB'],['WGBR'],['WGB'],['WGBR'],['GBW'],['G'],['GBW'],['WGPB'],['WG'],"['GBWR', 'WGPB']",['WGPR'],['WGP'],['W'],['WBGPW'],['GWBR'],['WBGP'],['WBPGRB'],['GBPW'],['GBWP'],['WBGRP'],"['WBGRP', 'WGPBW']",['WBG'],['WBGRW'],['WB'],"['GWPB', 'WBGR']",['GWB'],[''],['GWB'],['GWP'],['GW'],['GWP'],['WBPGWR'],['WBPG'],"['GBWRP', 'GWPBG']",['GWPBG'],"['GWPBR', 'WGPBR']",['WGPBW'],['GBWPGB'],['WBPGR'],['WBPGW'],"['GWPRB', 'WGPRB']",['G'],['W'],['WBGPWB'],['GBPWG'],['GBPWR'],"['GWPRBG', 'WGPRBG']","['GBPWRBP', 'WBPGRBP']","['GWPRBW', 'WGPRBW']",['GB'],"['GBWRGP', 'GWBRGP']",['GW'],"['GBWRPB', 'WBGRPB']","['GBWRPG', 'GWBRPG', 'WGBRPG']","['GWBRPW', 'WBGRPW', 'WGBRPW']",['WB'],['WG'],"['WBGRWP', 'WGBRWP']",['WBG'],['WBP'],['GWBR'],['WGB'],['WGP'],['GBPWGR'],['GWPB'],['GBWPG'],['GWPR'],['GBPWRB'],['GBWRG'],['GBWRP']
BPW,['RBGP'],['GRPBGR'],['RBGW'],['RBPG'],['GBPR'],,['RGPBRG'],['GBRP'],['GBRW'],['GRBWG'],"['GRBWP', 'RGBWP']",['RGBWR'],['GBP'],['GB'],[''],['GBR'],['G'],['GBR'],['RGBW'],['RGB'],['RGBW'],['RGPB'],"['GBRW', 'RGPB']",['RG'],['RBGPR'],['GRBW'],['RBGP'],['RGPW'],['RGP'],['R'],['GRB'],[''],['GRB'],['GRP'],['GR'],['GRP'],['RBPGRW'],['RBPG'],"['GBRWP', 'GRPBG']",['RBPGWB'],['GBPR'],['GBRP'],['RBGWP'],"['RBGWP', 'RGPBR']",['RBG'],['RBGWR'],['RB'],"['GRPB', 'RBGW']",['GRPBG'],['RGPBR'],"['GRPBW', 'RGPBW']",['GBRPGB'],['RBPGR'],['RBPGW'],['RBGPRB'],['GBPRG'],['GBPRW'],"['GRPWB', 'RGPWB']",['G'],['R'],['RBG'],['RBP'],['GRBW'],['RGB'],['RGP'],['GBPRGW'],['GRPB'],['GBRPG'],['GRPW'],['GBPRWB'],['GBRWG'],['GBRWP'],"['GRPWBG', 'RGPWBG']","['GBPRWBP', 'RBPGWBP']","['GRPWBR', 'RGPWBR']",['GB'],"['GBRWGP', 'GRBWGP']",['GR'],"['GBRWPB', 'RBGWPB']","['GBRWPG', 'GRBWPG', 'RGBWPG']","['GRBWPR', 'RBGWPR', 'RGBWPR']",['RB'],['RG'],"['RBGWRP', 'RGBWRP']"
BRG,['PWBGP'],"['PWBGR', 'WPBGR']",['WPBGW'],['WBPG'],['WBPR'],['PWRBPW'],,['WBRP'],['PBRW'],['PBWG'],['WPRBWP'],['PBWR'],"['PWRGBP', 'WPRGBP']",['WBPR'],['PWR'],"['PBRWGBR', 'WBRPGBR']",['WBRP'],['PBRW'],"['PWRGBW', 'WPRGBW']",['WPR'],['PBWR'],['PB'],['PB'],['P'],"['PBWGPR', 'PWBGPR']","['PBWG', 'WPRB']",['PWBG'],['PW'],[''],['PW'],"['PBWGRB', 'WBPGRB']","['PBWGR', 'PWRBP']","['WBPGR', 'WPRBW']","['PBWGRP', 'PWBGRP', 'WPBGRP']",['PBW'],['PWB'],"['PWBGRW', 'WBPGRW', 'WPBGRW']",['WBP'],['WPB'],['WB'],['W'],['WB'],['WP'],[''],['WP'],"['WBPGWR', 'WPBGWR']","['PWRB', 'WBPG']",['WPBG'],['WPBG'],['PBR'],['PBW'],['WBRPGB'],['WBPGR'],['WBPGW'],['WPRB'],['WPRG'],['WBPRW'],['PWB'],['WBRPWG'],['PWR'],"['PWRBG', 'WPRBG']",['PWRBP'],['WPRBW'],"['PWRGB', 'WPRGB']",['P'],['W'],['PBWRPB'],['WBRPG'],['WBRPW'],['WBPRWB'],['PBRWG'],['PBRWP'],['PWBG'],['WBP'],['WBR'],['PBRWGB'],['PBWGP'],['PBWGR'],['WPB'],['PBRWPG'],['WPR'],['PWRB'],['PWRG'],['PBWRP']
BRP,['WBGP'],['WBGR'],['GWRBGW'],['GWBPG'],"['GWBPR', 'WGBPR']",['WGBPW'],['WBRG'],,['GBRW'],['WGRBWG'],['GBWP'],['GBWR'],['WGBP'],['WGB'],['WGBP'],['GBR'],[''],['GB'],['GBW'],['GBW'],['G'],['WBRGPB'],['GBRW'],['GBWR'],['WBGPR'],"['WBGPR', 'WGRBW']",['WBG'],['WBGPW'],['WB'],"['GWRB', 'WBGP']",['WGRB'],['WG'],"['GBWP', 'WGRB']",['WGRP'],['WGR'],['W'],['WBGRW'],['GWBP'],['WBGR'],['GWB'],['GWB'],[''],['WBRGWP'],['WBRG'],"['GBWPR', 'GWRBG']",['GWR'],['GW'],['GWR'],"['GWRPBG', 'WGRPBG']","['GBRWPBR', 'WBRGPBR']","['GWRPBW', 'WGRPBW']",['GB'],"['GBWPGR', 'GWBPGR']",['GW'],"['GBWPRB', 'WBGPRB']","['GBWPRG', 'GWBPRG', 'WGBPRG']","['GWBPRW', 'WBGPRW', 'WGBPRW']",['WB'],['WG'],"['WBGPWR', 'WGBPWR']",['GWRBG'],"['GWRBP', 'WGRBP']",['WGRBW'],['GBWRGB'],['WBRGP'],['WBRGW'],"['GWRPB', 'WGRPB']",['G'],['W'],['WBGRWB'],['GBRWG'],['GBRWP'],['WBG'],['GWBP'],['WBR'],['WGB'],['GBRWGP'],['WGR'],['GBRWPB'],['GBWPG'],['GBWPR'],['GWRB'],['GBWRG'],['GWRP']
BRW,['GPRBGP'],['PBGR'],['PBGW'],['PGRBPG'],['GBPR'],['GBPW'],['PBRG'],['GBRP'],,['GPBWG'],['PGBWP'],"['GPBWR', 'PGBWR']",['GBP'],['G'],['GBP'],['GBR'],['GB'],[''],['PGBW'],['PGBW'],['PGB'],['GPB'],[''],['GPB'],['GPR'],['GP'],['GPR'],['PBRGPW'],['PBRG'],"['GBPWR', 'GPRBG']",['PGRB'],"['GBPW', 'PGRB']",['PG'],['PBGRP'],['GPBW'],['PBGR'],['PGRW'],['PGR'],['P'],['PBRGWB'],['GBPR'],['GBRP'],['PBGWP'],['PB'],"['GPRB', 'PBGW']",['PBGWR'],"['PBGWR', 'PGRBP']",['PBG'],['PBG'],['PBR'],['GPBW'],['PGB'],['PGR'],['GBRPGW'],['GPRB'],['GBPRG'],['GPRW'],['GBRPWB'],['GBPWG'],['GBPWR'],['GPRBG'],['PGRBP'],"['GPRBW', 'PGRBW']",['GBPRGB'],['PBRGP'],['PBRGW'],['PBGRPB'],['GBRPG'],['GBRPW'],"['GPRWB', 'PGRWB']",['G'],['P'],"['GPRWBG', 'PGRWBG']","['GPRWBP', 'PGRWBP']","['GBRPWBR', 'PBRGWBR']",['GB'],['GP'],"['GBPWGR', 'GPBWGR']",['PB'],['PG'],"['PBGWPR', 'PGBWPR']","['GBPWRB', 'PBGWRB']","['GBPWRG', 'GPBWRG', 'PGBWRG']","['GPBWRP', 'PBGWRP', 'PGBWRP']"
BWG,['PRBGP'],['RPBGR'],"['PRBGW', 'RPBGW']",['RBPG'],['PRWBPR'],['RBPW'],['PBRG'],['RPWBRP'],['PBRW'],,['RBWP'],['PBWR'],"['PRWGBP', 'RPWGBP']",['PRW'],['RBPW'],"['PRWGBR', 'RPWGBR']",['RPW'],['PBRW'],"['PBWRGBW', 'RBWPGBW']",['RBWP'],['PBWR'],['PB'],['P'],['PB'],['PR'],[''],['PR'],"['PBRGPW', 'PRBGPW']","['PBRG', 'RPWB']",['PRBG'],['RB'],['R'],['RB'],['RP'],[''],['RP'],"['RBPGRW', 'RPBGRW']","['PRWB', 'RBPG']",['RPBG'],"['PBRGWB', 'RBPGWB']","['PBRGW', 'PRWBP']","['RBPGW', 'RPWBR']","['PBRGWP', 'PRBGWP', 'RPBGWP']",['PBR'],['PRB'],"['PRBGWR', 'RBPGWR', 'RPBGWR']",['RBP'],['RPB'],['RPBG'],['PBR'],['PBW'],['RBWPGB'],['RBPGR'],['RBPGW'],['PRB'],['RBWPRG'],['PRW'],['RPWB'],['RPWG'],['RBPWR'],['PRBG'],['RBP'],['RBW'],['PBWRGB'],['PBRGP'],['PBRGW'],['RPB'],['PBWRPG'],['RPW'],['PRWB'],['PRWG'],['PBRWP'],"['PRWBG', 'RPWBG']",['PRWBP'],['RPWBR'],"['PRWGB', 'RPWGB']",['P'],['R'],['PBRWPB'],['RBWPG'],['RBWPR'],['RBPWRB'],['PBWRG'],['PBWRP']
BWP,['RBGP'],['GRWBGR'],['RBGW'],['GRBPG'],['RGBPR'],"['GRBPW', 'RGBPW']",['RGWBRG'],['GBRP'],['GBRW'],['RBWG'],,['GBWR'],['RGBP'],['RGBP'],['RGB'],['GBR'],['GBR'],['G'],['GBW'],[''],['GB'],['RBWGPB'],['GBRW'],['GBWR'],['RBGPR'],['RB'],"['GRWB', 'RBGP']",['RBGPW'],"['RBGPW', 'RGWBR']",['RBG'],['GRB'],['GRB'],[''],['RBWGRP'],['RBWG'],"['GBRPW', 'GRWBG']",['GRW'],['GR'],['GRW'],['RGWB'],['RG'],"['GBRP', 'RGWB']",['RGWP'],['RGW'],['R'],['RBGWR'],['GRBP'],['RBGW'],"['GRWPBG', 'RGWPBG']","['GRWPBR', 'RGWPBR']","['GBWRPBW', 'RBWGPBW']",['GB'],['GR'],"['GBRPGW', 'GRBPGW']",['RB'],['RG'],"['RBGPRW', 'RGBPRW']","['GBRPWB', 'RBGPWB']","['GBRPWG', 'GRBPWG', 'RGBPWG']","['GRBPWR', 'RBGPWR', 'RGBPWR']",['RBG'],['GRBP'],['RBW'],['RGB'],['GBWRGP'],['RGW'],['GBWRPB'],['GBRPG'],['GBRPW'],['GRWB'],['GBRWG'],['GRWP'],['GRWBG'],"['GRWBP', 'RGWBP']",['RGWBR'],['GBRWGB'],['RBWGP'],['RBWGR'],"['GRWPB', 'RGWPB']",['G'],['R'],['RBGWRB'],['GBWRG'],['GBWRP']
BWR,['GPWBGP'],['PBGR'],['PBGW'],['PGWBPG'],['GBPR'],['GBPW'],['GPBRG'],['PGBRP'],"['GPBRW', 'PGBRW']",['PBWG'],['GBWP'],,['GBP'],['GBP'],['G'],['PGBR'],['PGBR'],['PGB'],['GBW'],['GB'],[''],['GPB'],['GPB'],[''],['PBWGPR'],['PBWG'],"['GBPRW', 'GPWBG']",['GPW'],['GP'],['GPW'],['PBWGRB'],['GBPW'],['GBWP'],['PBGRP'],['PB'],"['GPWB', 'PBGR']",['PBGRW'],"['PBGRW', 'PGWBP']",['PBG'],['PGWB'],"['GBPR', 'PGWB']",['PG'],['PBGWP'],['GPBR'],['PBGW'],['PGWR'],['PGW'],['P'],['PBG'],['GPBR'],['PBW'],['PGB'],['GBWPGR'],['PGW'],['GBWPRB'],['GBPRG'],['GBPRW'],['GPWB'],['GBPWG'],['GPWR'],"['GPWRBG', 'PGWRBG']","['GPWRBP', 'PGWRBP']","['GBWPRBW', 'PBWGRBW']",['GB'],['GP'],"['GBPRGW', 'GPBRGW']",['PB'],['PG'],"['PBGRPW', 'PGBRPW']","['GBPRWB', 'PBGRWB']","['GBPRWG', 'GPBRWG', 'PGBRWG']","['GPBRWP', 'PBGRWP', 'PGBRWP']",['GPWBG'],['PGWBP'],"['GPWBR', 'PGWBR']",['GBPWGB'],['PBWGP'],['PBWGR'],['PBGWPB'],['GBWPG'],['GBWPR'],"['GPWRB', 'PGWRB']",['G'],['P']
GBP,"['RWBGP', 'WRBGP']",['RWBGR'],['WRBGW'],"['RWBPG', 'WRBPG']",['R'],['W'],['RGWBRG'],['WGBRP'],['WGBRW'],['WGRBWG'],['RGBWP'],['RGBWR'],,[''],[''],['WGBR'],['WG'],['WGBR'],['RGBW'],['RG'],['RGBW'],"['RWGPB', 'WRGPB']",['RWG'],['WRG'],['RWGPR'],['RWGP'],['RW'],['WRGPW'],['WRGP'],['WR'],['WGRB'],['W'],['WGRB'],['WGRP'],['WGR'],"['RWBG', 'WGRP']",['RWBGRW'],['RWB'],"['RGWPB', 'RWBGR']",['RGWB'],['R'],['RGWB'],['RGWP'],['RGW'],"['RGWP', 'WRBG']",['WRBGWR'],['WRB'],"['WGRPB', 'WRBGW']","['RGWPBG', 'WGRPBG']","['RGWPBR', 'RWGPBR', 'WRGPBR']","['RWGPBW', 'WGRPBW', 'WRGPBW']","['RGBWPGB', 'WGBRPGB']","['RWBPGR', 'WRBPGR']","['RWBPGW', 'WRBPGW']","['RGWPRB', 'RWGPRB']",['RG'],['RW'],"['WGRPWB', 'WRGPWB']",['WG'],['WR'],['WRBG'],['WRBP'],['WGRBW'],['RGB'],['WRGP'],['RGW'],['WGRPB'],['WGBRPG'],['WGRPW'],['RWB'],['RWG'],['WGBRWP'],['RWBG'],['RWBP'],['RGWBR'],['WGB'],['RWGP'],['WGR'],['RGWPB'],['RGBWPG'],['RGWPR'],['WRB'],['WRG'],['RGBWRP']
GBR,['PWBGP'],"['PWBGR', 'WPBGR']",['WPBGW'],['PGWBPG'],['WGBPR'],['WGBPW'],"['PWBRG', 'WPBRG']",['P'],['W'],['WGPBWG'],['PGBWP'],['PGBWR'],['WGBP'],['WG'],['WGBP'],,[''],[''],['PGBW'],['PGBW'],['PG'],['WGPB'],['W'],['WGPB'],['WGPR'],['WGP'],"['PWBG', 'WGPR']",['PWBGPW'],['PWB'],"['PGWRB', 'PWBGP']","['PWGRB', 'WPGRB']",['PWG'],['WPG'],['PWGRP'],['PWGR'],['PW'],['WPGRW'],['WPGR'],['WP'],['PGWB'],['PGWB'],['P'],['WPBGWP'],['WPB'],"['WGPRB', 'WPBGW']",['PGWR'],['PGW'],"['PGWR', 'WPBG']",['WPBG'],['WPBR'],['WGPBW'],['PGB'],['WPGR'],['PGW'],['WGPRB'],['WGBPRG'],['WGPRW'],['PWB'],['PWG'],['WGBPWR'],"['PGWRBG', 'WGPRBG']","['PGWRBP', 'PWGRBP', 'WPGRBP']","['PWGRBW', 'WGPRBW', 'WPGRBW']","['PGBWRGB', 'WGBPRGB']","['PWBRGP', 'WPBRGP']","['PWBRGW', 'WPBRGW']","['PGWRPB', 'PWGRPB']",['PG'],['PW'],"['WGPRWB', 'WPGRWB']",['WG'],['WP'],['PWBG'],['PGWBP'],['PWBR'],['WGB'],['WGP'],['PWGR'],['WPB'],['WPG'],['PGBWPR'],['PGWRB'],['PGBWRG'],['PGWRP']
