,BGP,BGR,BGW,BPG,BPR,BPW,BRG,BRP,BRW,BWG,BWP,BWR,GBP,GBPRW,GBPWR,GBR,GBRPW,GBRWP,GBW,GBWPR,GBWRP,GPB,GPBRW,GPBWR,GPR,GPRBW,GPRWB,GPW,GPWBR,GPWRB,GRB,GRBPW,GRBWP,GRP,GRPBW,GRPWB,GRW,GRWBP,GRWPB,GWB,GWBPR,GWBRP,GWP,GWPBR,GWPRB,GWR,GWRBP,GWRPB,PBG,PBR,PBW,PGB,PGR,PGW,PRB,PRG,PRW,PWB,PWG,PWR,RBG,RBP,RBW,RGB,RGP,RGW,RPB,RPG,RPW,RWB,RWG,RWP,WBG,WBP,WBR,WGB,WGP,WGR,WPB,WPG,WPR,WRB,WRG,WRP
PGW,['RBGP'],['RPBGR'],['RBGW'],['BPG'],['BPR'],['RBPW'],['BRG'],['BRP'],['RPGBRW'],['RPBWG'],['RPGBWP'],['RPBWR'],['BPRGBP'],['BPR'],['RBPW'],['RPGBR'],['BRP'],['RPGB'],['RPGBW'],['BPRG'],['RP'],['BRGPB'],"['BPRWG', 'BRGPB']","['BRGP', 'RPBW']",['RBGPR'],"['RBGPR', 'RPBWG']","['BPRW', 'RBGP']","['BRGPW', 'RBGPW']",['BR'],['RB'],['BPGRB'],['RBP'],['BPGR'],['RPBGRP'],['RPB'],['BRPW'],['BPGRW'],['BP'],['RPBG'],['B'],['B'],[''],"['BRGWP', 'RBGWP']",['BRG'],['RBG'],['R'],[''],['R'],['RPBG'],['BRGPBR'],['RPBW'],['RPGB'],['BPGR'],,['RBGPRB'],['BPRG'],['BPRW'],['BRPWB'],"['BRPWG', 'RBPWG']",['RBPWR'],['RBG'],['RBP'],['BPGRBW'],['BPRGB'],['BRGP'],['BRGW'],['RPB'],['RPG'],['BRPW'],['BPRWB'],['BPRWG'],['BPGRWP'],"['BPRWBG', 'BRPWBG']",['BP'],['BR'],"['BPRWGB', 'BRPWGB', 'RBPWGB']","['BPRWGP', 'RPBWGP']","['BRPWGR', 'RBPWGR', 'RPBWGR']","['BRGWPB', 'RBGWPB']","['BPGRWPG', 'RPGBWPG']","['BRGWPR', 'RBGWPR']",['RB'],"['RBPWRG', 'RPBWRG']",['RP']
PRB,['GP'],"['GPWBGR', 'GWPBGR']",['GW'],"['GWRBPG', 'WGRBPG']","['GPRWBPR', 'WPRGBPR']","['GWRBPW', 'WGRBPW']","['GPWBRG', 'GWPBRG', 'WGPBRG']","['GPWBRP', 'WPGBRP']","['GWPBRW', 'WGPBRW', 'WPGBRW']",['WG'],['WP'],"['WGPBWR', 'WPGBWR']",['WPRGBP'],['GPRW'],['GPWR'],['WPGBR'],"['WGRPW', 'WPGBR']",['WPG'],['WPGBW'],['WP'],"['GWRP', 'WPGB']",['WGPB'],['WGP'],['WGPB'],['GPR'],[''],['GP'],['GPW'],['GPW'],['G'],['WGRB'],['WGR'],['W'],['WGRP'],['WG'],"['GPWB', 'WGRP']",['WPGRW'],['WPGR'],['GWPB'],['WPRGWB'],['WPRG'],"['GPWBR', 'GWRPG']",['GWP'],['GWP'],[''],['GWR'],['GWR'],['GW'],['GWPBG'],"['GWPBR', 'WGPBR']",['WGPBW'],['WPGB'],['WPGR'],['GWRPGW'],,['WPRG'],['GPRW'],['GPWB'],['WGRPWG'],['GPWR'],['G'],"['GWRBP', 'WGRBP']",['W'],['WPRGB'],['GPWRGP'],['WPRGW'],"['GWRPB', 'WGRPB']",['GWRPG'],['WGRPW'],['GPRWB'],['GPRWG'],['WPGRWP'],['GPWBG'],['GPRWBP'],['GPWBR'],['GPRWGB'],['WGP'],['WGR'],['GWPB'],['WPG'],['WPR'],['GWRB'],['GPWRG'],['GWRP']
PRG,['WPRBGP'],['WPBGR'],['WPBGW'],['WBPG'],['BPR'],['BPW'],['WBRG'],['WBRP'],['WPBRW'],['WPRBWG'],['BWP'],['BWR'],['BP'],['BP'],['B'],"['BPWGBR', 'BWPGBR']","['BPWG', 'WBRP']",['BWPG'],['BW'],[''],['BW'],"['BWRGPB', 'WBRGPB']",['WPBR'],['BWR'],"['BPRWGPR', 'WPRBGPR']",['WPRB'],['BPRW'],"['BWRGPW', 'WBRGPW']",['WBR'],['BPWR'],"['BPWGRB', 'BWPGRB', 'WBPGRB']",['BPW'],['BWP'],"['BPWGRP', 'WPBGRP']","['BPWGR', 'BWRPB']","['WBRPW', 'WPBGR']","['BWPGRW', 'WBPGRW', 'WPBGRW']",['WBP'],['WPB'],['WB'],[''],['WB'],['WP'],['W'],['WP'],"['WBPGWR', 'WPBGWR']",['WBPG'],"['BWRP', 'WPBG']",['WPBG'],['WPBR'],['BWRPBW'],['BWPGB'],"['BWPGR', 'WBPGR']",['WBPGW'],['WPRB'],,['BPRW'],['WBRPWB'],['BPWG'],['BPWR'],['WPRBG'],['BPWRBP'],['WPRBW'],['B'],"['BWRGP', 'WBRGP']",['W'],['BWRPB'],"['BWRPG', 'WBRPG']",['WBRPW'],['BPRWB'],['BPRWG'],['WPBRWP'],['BPRWBG'],['WBP'],['WBR'],['BPWGB'],['BPRWGP'],['BPWGR'],['WPB'],['BWPG'],['WPR'],['BPWRB'],['BWRG'],['BWRP']
PRW,['BGP'],['BGR'],['GPRBGW'],['BPG'],['BPR'],['GBPW'],['GPBRG'],['GBRP'],['GBRW'],['GPBWG'],['GPRBWP'],['GPBWR'],['GBP'],[''],['GBP'],['GBR'],['GB'],['GBR'],['BPRGBW'],['BPRG'],"['GBRPG', 'GPBWR']",['GPB'],['G'],['GPB'],['GPR'],['GP'],[''],['BGPW'],['BGPW'],['BGP'],['BPGRB'],['GBPW'],['BPGR'],['BGRP'],"['BGRP', 'GPBW']",['BG'],['BGRW'],['B'],['BGR'],['BPGWB'],['BP'],"['BPGW', 'GBRP']",['BPRGWP'],['GPBR'],['GPRB'],['BPGWR'],['BPG'],"['BGRPB', 'BPGWR']",['BGRPBG'],['GPBR'],['GPBW'],['GBRPGB'],['BPGR'],['BPGW'],['GPRB'],['BPRG'],,['BGPWB'],['GBPWG'],"['BGPWR', 'GBPWR']",['GPRBG'],['BPGRBP'],['GPRBW'],['BPRGB'],['GPBRGP'],['BPRGW'],['BGRPB'],['GBRPG'],"['BGRPW', 'GBRPW']",['B'],['G'],"['BGRWP', 'GBRWP']",['BG'],['BP'],"['BGPWBR', 'BPGWBR']",['GB'],['GP'],"['GBPWGR', 'GPBWGR']","['BGRWPB', 'GBRWPB']","['BGRWPG', 'GBRWPG']","['BPRGWPR', 'GPRBWPR']","['BGPWRB', 'BPGWRB', 'GBPWRB']","['BGPWRG', 'GBPWRG', 'GPBWRG']","['BPGWRP', 'GPBWRP']"
PWB,['GP'],['GR'],"['GPRBGW', 'GRPBGW']","['GRWBPG', 'RGWBPG']","['GRWBPR', 'RGWBPR']","['GPWRBPW', 'RPWGBPW']",['RG'],['RP'],"['RGPBRW', 'RPGBRW']","['GPRBWG', 'GRPBWG', 'RGPBWG']","['GPRBWP', 'RPGBWP']","['GRPBWR', 'RGPBWR', 'RPGBWR']",['RPWGBP'],['GPRW'],['GPWR'],['RPGBR'],['RP'],"['GRWP', 'RPGB']",['RPGBW'],"['RGWPR', 'RPGBW']",['RPG'],['RGPB'],['RGPB'],['RGP'],['GPR'],['GPR'],['G'],['GPW'],[''],['GP'],['RPWGRB'],['RPWG'],"['GPRBW', 'GRWPG']",['GRP'],['GRP'],[''],['GRW'],['GRW'],['GR'],['RGWB'],['RGW'],['R'],['RGWP'],['RG'],"['GPRB', 'RGWP']",['RPGWR'],['RPGW'],['GRPB'],['GRPBG'],['RGPBR'],"['GRPBW', 'RGPBW']",['RPGB'],['GRWPGR'],['RPGW'],['GPRB'],['RGWPRG'],['GPRW'],,['RPWG'],['GPWR'],['GPRBG'],['GPWRBP'],['GPRBW'],['GPWRGB'],['RGP'],['RGW'],['GRPB'],['RPG'],['RPW'],['GRWB'],['GPRWG'],['GRWP'],['G'],"['GRWBP', 'RGWBP']",['R'],['RPWGB'],['GPRWGP'],['RPWGR'],"['GRWPB', 'RGWPB']",['GRWPG'],['RGWPR'],['GPWRB'],['GPWRG'],['RPGWRP']
PWG,['RPWBGP'],['RPBGR'],['RPBGW'],['RBPG'],['BPR'],['BPW'],['RPWBRG'],['BRP'],['BRW'],['RBWG'],['RBWP'],['RPBWR'],['BP'],['B'],['BP'],['BR'],[''],['BR'],"['BPRGBW', 'BRPGBW']","['BPRG', 'RBWP']",['BRPG'],"['BRWGPB', 'RBWGPB']",['BRW'],['RPBW'],"['BRWGPR', 'RBWGPR']",['RBW'],['BPRW'],"['BPWRGPW', 'RPWBGPW']",['RPWB'],['BPWR'],['RB'],[''],['RB'],['RP'],['R'],['RP'],"['RBPGRW', 'RPBGRW']",['RBPG'],"['BRWP', 'RPBG']","['BPRGWB', 'BRPGWB', 'RBPGWB']",['BPR'],['BRP'],"['BPRGWP', 'RPBGWP']","['BPRGW', 'BRWPB']","['RBWPR', 'RPBGW']","['BRPGWR', 'RBPGWR', 'RPBGWR']",['RBP'],['RPB'],['RPBG'],['BRWPBR'],['RPBW'],['BRPGB'],['RBPGR'],"['BRPGW', 'RBPGW']",['RBWPRB'],['BPRG'],['BPRW'],['RPWB'],,['BPWR'],['BPWRBG'],['RBP'],['RBW'],['BPRGB'],['BPWRGP'],['BPRGW'],['RPB'],['BRPG'],['RPW'],['BPRWB'],['BRWG'],['BRWP'],['RPWBG'],['BPRWBP'],['RPWBR'],['B'],"['BRWGP', 'RBWGP']",['R'],['BRWPB'],"['BRWPG', 'RBWPG']",['RBWPR'],['BPWRB'],['BPWRG'],['RPBWRP']
PWR,['BGP'],['GPWBGR'],['BGW'],['BPG'],['GBPR'],['BPW'],['GPBRG'],['GPWBRP'],['GPBRW'],['GPBWG'],['GBWP'],['GBWR'],['GBP'],['GBP'],[''],['BPWGBR'],['BPWG'],"['GBWPG', 'GPBRW']",['GBW'],['GB'],['GBW'],['GPB'],['GPB'],['G'],['BGPR'],['BGPR'],['BGP'],['GPW'],['GP'],[''],['BPGRB'],['BP'],"['BPGR', 'GBWP']",['BPWGRP'],['GPBW'],['GPWB'],['BPGRW'],['BPG'],"['BGWPB', 'BPGRW']",['BPGWB'],['GBPR'],['BPGW'],['BGWP'],"['BGWP', 'GPBR']",['BG'],['BGWR'],['B'],['BGW'],['BGWPBG'],['GPBR'],['GPBW'],['GBWPGB'],['BPGR'],['BPGW'],['BGPRB'],['GBPRG'],"['BGPRW', 'GBPRW']",['GPWB'],['BPWG'],,['BG'],['BP'],"['BGPRBW', 'BPGRBW']",['GB'],['GP'],"['GBPRGW', 'GPBRGW']","['BGWRPB', 'GBWRPB']","['BGWRPG', 'GBWRPG']","['BPWGRPW', 'GPWBRPW']","['BGPRWB', 'BPGRWB', 'GBPRWB']","['BGPRWG', 'GBPRWG', 'GPBRWG']","['BPGRWP', 'GPBRWP']",['GPWBG'],['BPGWBP'],['GPWBR'],['BPWGB'],['GPBWGP'],['BPWGR'],['BGWPB'],['GBWPG'],"['BGWPR', 'GBWPR']",['B'],['G'],"['BGWRP', 'GBWRP']"
RBG,['P'],"['PWBGR', 'WPBGR']",['W'],['WRBPG'],['PRWBPR'],['WRBPW'],"['PWBRG', 'WPBRG']",['PWBRP'],['WPBRW'],['PRBWG'],['PRBWP'],['WRPBWR'],"['PRWGBP', 'PWRGBP', 'WPRGBP']",['PRW'],['PWR'],"['PRWGBR', 'WRPGBR']","['PRWGB', 'PWBRP']","['WPBRW', 'WRPGB']","['PWRGBW', 'WPRGBW', 'WRPGBW']",['WPR'],['WRP'],"['PRWGPB', 'PWRGPB']","['PRWG', 'WPBR']",['PWRG'],['PR'],['PR'],['P'],['PW'],['PW'],[''],"['PRBWGRB', 'WRBPGRB']",['WRBP'],['PRBW'],"['PWBGRP', 'WPBGRP']",['WRPB'],['PWB'],"['PWBGRW', 'WPBGRW']",['PRWB'],['WPB'],"['WPRGWB', 'WRPGWB']",['WPRG'],"['PWBR', 'WRPG']",['WP'],['WP'],[''],['WR'],['WR'],['W'],['WPBG'],['WPBR'],['WRPBW'],['WRPGB'],['WRBPGR'],['WRPGW'],['PRB'],['WPRG'],['PRW'],['PWB'],['WRBPWG'],['PWR'],,['WRBP'],['PRBW'],"['PWRGB', 'WPRGB']",['PWRGP'],['WPRGW'],['WRPB'],['WRPG'],['PWBRPW'],['PRWB'],['PRWG'],['WPBRWP'],['PWBG'],['PRWBP'],['PWBR'],['PRWGB'],['PRWGP'],['PRBWGR'],['WPB'],['PRBWPG'],['WPR'],['WRB'],['PWRG'],['WRP']
RBP,['WRBGP'],['GRWBGR'],['WRBGW'],['G'],"['GWBPR', 'WGBPR']",['W'],['GWBRG'],"['GWBRP', 'WGBRP']",['WGBRW'],['GRBWG'],['GRBWP'],['WRGBWR'],['WGBP'],['WGB'],['W'],['WGBR'],['WG'],"['GRWP', 'WGBR']",['WRGBW'],['WRGB'],['GWRP'],['WRGPB'],"['WGBRW', 'WRGPB']",['WRG'],['WRBGPR'],['GRBW'],['GRWB'],['WRGPW'],"['GWBR', 'WRGP']",['WR'],['GRB'],[''],['GR'],['WGRP'],['WGR'],['WGRP'],['GRW'],['G'],['GRW'],['GWB'],['GWB'],['GW'],['WRBGWP'],"['GRWPB', 'GWBRG']",['WRBG'],['GWR'],[''],['GWR'],"['GRWPBG', 'GWRPBG', 'WGRPBG']","['GRWPBR', 'WRGPBR']","['GWRPBW', 'WGRPBW', 'WRGPBW']","['GRWPGB', 'GWRPGB']",['GR'],['GW'],"['GRBWPRB', 'WRBGPRB']","['GWBPRG', 'WGBPRG']","['GWBPRW', 'WGBPRW']","['WGRPWB', 'WRGPWB']",['WG'],['WR'],['WRBG'],,['GRBW'],['WRGB'],['WRGP'],['GWBRGW'],"['GWRPB', 'WGRPB']",['GWRPG'],['WGRPW'],['GRWB'],['WGBRWG'],['GRWP'],['GRWBG'],['GWBP'],['GWBR'],['WGB'],['GRBWGP'],['WGR'],['GRWPB'],['GRWPG'],['GRBWPR'],['WRB'],['WRG'],['GWRP']
RBW,['PRBGP'],['GRPBGR'],['PRBGW'],['GRBPG'],['PRGBPR'],['GRBPW'],['GPBRG'],['PGBRP'],"['GPBRW', 'PGBRW']",['G'],['P'],"['GPBWR', 'PGBWR']",['PRGBP'],['GPRW'],['PRGB'],['PGBR'],"['GRPW', 'PGBR']",['PG'],['PGBW'],['P'],['PGB'],['GPB'],['GP'],['GPB'],['GPR'],[''],['GPR'],['PRBGPW'],"['GPBRG', 'GRPWB']",['PRBG'],['GRB'],['GR'],[''],['GRP'],['G'],['GRP'],['PGRW'],['PGR'],['PGRW'],['PRGWB'],['PRG'],"['PGBRP', 'PRGWB']",['PRGWP'],"['GPBR', 'PRGW']",['PR'],['PRBGWR'],['GRBP'],['GRPB'],['GRPBG'],['GPBR'],['GPBW'],['PGB'],['PGR'],['GRBPGW'],['PRB'],['PRG'],['GPRW'],['GRPWB'],['GRPWG'],['GRBPWR'],['PRBG'],['GRBP'],,['PRGB'],['GPBRGP'],['PRGW'],['GRPB'],['PGBRPG'],['GRPW'],"['GPRWB', 'PGRWB']",['GPRWG'],['PGRWP'],"['GPRWBG', 'GRPWBG', 'PGRWBG']","['GPRWBP', 'PGRWBP', 'PRGWBP']","['GRPWBR', 'PRGWBR']","['GPRWGB', 'GRPWGB']",['GP'],['GR'],"['PGRWPB', 'PRGWPB']",['PG'],['PR'],"['GRBPWRB', 'PRBGWRB']","['GPBWRG', 'PGBWRG']","['GPBWRP', 'PGBWRP']"
RGB,"['PRWBGP', 'PWRBGP', 'WPRBGP']","['PRWBGR', 'WRPBGR']","['PWRBGW', 'WPRBGW', 'WRPBGW']","['PRWBPG', 'PWRBPG']",['PR'],['PW'],"['PRGWBRG', 'WRGPBRG']","['PWGBRP', 'WPGBRP']","['PWGBRW', 'WPGBRW']","['WPRBWG', 'WRPBWG']",['WP'],['WR'],['P'],['P'],[''],"['PWGBR', 'WPGBR']",['PWG'],['WPG'],['W'],[''],['W'],['WRGPB'],['PRWG'],['WR'],['PRWGPR'],['WPRB'],['PRW'],['WRGPW'],['WRGP'],['PWR'],"['PWGRB', 'WPGRB']",['PW'],['WP'],['PWGRP'],"['PWGR', 'WRPB']","['PRWBG', 'PWGRP']",['WPGRW'],"['PRWB', 'WPGR']","['WPGRW', 'WRPBG']",['PRGWB'],['PR'],['WRPG'],['PRGWP'],['PRGW'],['WPR'],['WRPGWR'],['PWRB'],['WRP'],['WRPBG'],['WRGPBR'],['WRPBW'],['WPGB'],['WPGR'],['WRPGW'],['WPRB'],['PRG'],['PRW'],['WRGPWB'],['PWG'],['PWR'],"['PWRBG', 'WPRBG']",['PWRBP'],['WPRBW'],,['WRGP'],['PRGW'],['WRPB'],['WRPG'],['PWGRPW'],['PRWB'],['PRWG'],['WPGRWP'],['PRWBG'],['PRWBP'],['PRGWBR'],['PWGB'],['PRWGP'],['PWGR'],['PRGWPB'],['WPG'],['WPR'],['PWRB'],['WRG'],['WRP']
RGP,['WBGP'],['WBGR'],['WRBGW'],['WRBPG'],['WRGBPR'],['WRBPW'],['BRG'],['WBRP'],['BRW'],['BWG'],['WRGBWP'],['BWR'],['WRGBP'],['BRWG'],['WR'],['BRWGBR'],['WBRP'],['BRW'],['WRGBW'],['WRGB'],['BWR'],['B'],['B'],[''],"['BWGPR', 'WBGPR']",['BWG'],['WBG'],['W'],[''],['W'],['BWGRB'],"['BWGR', 'WRBP']","['BRWPG', 'BWGRB']","['BWGRP', 'WBGRP']",['BW'],['WB'],['WBGRW'],"['WBGRW', 'WRBPG']","['BRWP', 'WBGR']",['BRGWB'],['BRGW'],['WBR'],['BRGWP'],['BR'],['WRBG'],['WRBGWR'],['WRB'],['BWRP'],"['BRWPBG', 'BWRPBG']",['BR'],['BW'],"['BRWPGB', 'BWRPGB', 'WBRPGB']","['BRWPGR', 'WRBPGR']","['BWRPGW', 'WBRPGW', 'WRBPGW']","['BWGPRB', 'WBGPRB']","['BRGWPRG', 'WRGBPRG']","['BWGPRW', 'WBGPRW']",['WB'],"['WBRPWG', 'WRBPWG']",['WR'],['WRBG'],['WRBP'],['BWGRBW'],['WRGB'],,['BRGW'],['BWRPB'],"['BWRPG', 'WBRPG']",['WBRPW'],['WBGRWB'],['BRWG'],['BRWP'],['WBG'],['BRGWBP'],['WBR'],['BRWGB'],['BWGP'],['BWGR'],['BRWPB'],['BRWPG'],['BRGWPR'],['WRB'],['WRG'],['BWRP']
RGW,['PRBGP'],['PBGR'],['PBGW'],['BPG'],['BPR'],['PRGBPW'],['BRG'],['BRP'],['PBRW'],['PRBWG'],['PRBWP'],['PRGBWR'],['PRGBP'],['BPR'],['PRGB'],['BRPGBR'],['BRP'],['PBRW'],['PRGBW'],['PR'],['BRPG'],['BRGPB'],['PBR'],['BRGP'],['PRBGPR'],['PRB'],['BPRW'],['BRGPW'],['BR'],['PRBG'],['BPGRB'],"['BPGRB', 'BRPWG']","['BPGR', 'PRBW']",['PBGRP'],"['PBGRP', 'PRBWG']","['BRPW', 'PBGR']","['BPGRW', 'PBGRW']",['BP'],['PB'],['B'],[''],['B'],['P'],[''],['P'],"['BPGWR', 'PBGWR']",['BPG'],['PBG'],['PBG'],['PBR'],['BRGPBW'],['BRPGB'],['BPGR'],['BPGW'],['PRB'],['PRG'],['BPRW'],['BRPWB'],['BRPWG'],['BRGPWR'],['PRBG'],['BPGRBP'],['PRBW'],['PRGB'],['BRGP'],,['PBGRPB'],['BRPG'],['BRPW'],['BPRWB'],"['BPRWG', 'PBRWG']",['PBRWP'],"['BPRWBG', 'BRPWBG']",['BP'],['BR'],"['BPRWGB', 'BRPWGB', 'PBRWGB']","['BPRWGP', 'PBRWGP', 'PRBWGP']","['BRPWGR', 'PRBWGR']",['PB'],"['PBRWPG', 'PRBWPG']",['PR'],"['BPGWRB', 'PBGWRB']","['BRGPWRG', 'PRGBWRG']","['BPGWRP', 'PBGWRP']"
RPB,"['GRWBGP', 'GWRBGP']",['GR'],['GW'],"['GRWBPG', 'GWRBPG', 'WGRBPG']","['GRWBPR', 'WRGBPR']","['GWRBPW', 'WGRBPW', 'WRGBPW']","['GWPBRG', 'WGPBRG']","['GRPWBRP', 'WRPGBRP']","['GWPBRW', 'WGPBRW']",['WG'],"['WGRBWP', 'WRGBWP']",['WR'],['WRGBP'],"['WGPRW', 'WRGBP']",['WRG'],['WRPGBR'],['GRPW'],['GRWP'],['WRGBW'],"['GWPR', 'WRGB']",['WR'],['WGPB'],['WGP'],['W'],['WGPR'],['WG'],"['GRWB', 'WGPR']",['WRGPW'],['WRGP'],['GWRB'],['WGRB'],['WGR'],['WGRB'],['GRP'],[''],['GR'],['GRW'],['GRW'],['G'],['WRPGWB'],"['GRWBP', 'GWPRG']",['WRPG'],['GWP'],['GWP'],['GW'],['GWR'],['GWR'],[''],['G'],"['GWPBR', 'WGPBR']",['W'],['WRPGB'],['GRWPGR'],['WRPGW'],"['GWPRB', 'WGPRB']",['GWPRG'],['WGPRW'],['GRPWB'],['GRPWG'],['WRGPWR'],['GWRBG'],"['GWRBP', 'WGRBP']",['WGRBW'],['WRGB'],['WRGP'],['GWPRGW'],,['WRPG'],['GRPW'],['GRWB'],['WGPRWG'],['GRWP'],['GRWBG'],['GRWBP'],['GRPWBR'],['GRPWGB'],['WGP'],['WGR'],['GWPB'],['GRWPG'],['GWPR'],['GWRB'],['WRG'],['WRP']
RPG,['WRBGP'],['WRPBGR'],['WRBGW'],['WBPG'],['WBPR'],['WRBPW'],['WBRG'],['BRP'],['BRW'],['WRPBWG'],['BWP'],['BWR'],"['BRWGBP', 'BWRGBP']","['BRWG', 'WBPR']",['BWRG'],['BR'],['BR'],['B'],['BW'],['BW'],[''],"['BRWGPB', 'BWRGPB', 'WBRGPB']",['BRW'],['BWR'],"['BRWGPR', 'WRBGPR']","['BRWGP', 'BWPRB']","['WBPRW', 'WRBGP']","['BWRGPW', 'WBRGPW', 'WRBGPW']",['WBR'],['WRB'],"['BWPGRB', 'WBPGRB']",['WRBP'],['BWP'],"['BRPWGRP', 'WRPBGRP']",['WRPB'],['BRPW'],"['BWPGRW', 'WBPGRW']",['WBP'],['BRWP'],['WB'],['WB'],[''],"['WBRGWP', 'WRBGWP']",['WBRG'],"['BWPR', 'WRBG']",['WR'],['W'],['WR'],['WRPBG'],['BRWPBR'],['WRPBW'],['B'],"['BWPGR', 'WBPGR']",['W'],['BWPRB'],"['BWPRG', 'WBPRG']",['WBPRW'],['BRPWB'],['BRPWG'],['WRBPWR'],['WRBG'],['WRBP'],['BWPRBW'],['BWRGB'],"['BWRGP', 'WBRGP']",['WBRGW'],['WRPB'],,['BRPW'],['WBPRWB'],['BRWG'],['BRWP'],['BRPWBG'],['WBP'],['WBR'],['BRWGB'],['BRWGP'],['BRPWGR'],['BRWPB'],['BWPG'],['BWPR'],['WRB'],['BWRG'],['WRP']
